company_name,num_funding_rounds,fd_rd_latest_investment,cat_lending_invests,cat_payments,cat_commerce_shopping,first_fund_investor_count,first_fund_post_money,num_exec,fd_rd_num_invested_by_top_100,tree_prediction,average_momentum
Beatdapp,4.0,1.0,0.0,0.0,0.0,10.0,0.0,8.0,1.0,1,7.92012237367529
Mobius,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1,7.9049760284168515
Blox,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1,7.893791898674575
DealCircle,2.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1,7.682525089969228
Dispatch,3.0,1.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,1,7.642819643579878
Finmark,2.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,1,7.546366617970028
Handle,2.0,1.0,0.0,0.0,0.0,17.0,0.0,3.0,2.0,1,7.504884644747225
Acudeen Technologies,4.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,1,7.428206385286213
IDVigil,2.0,2.0,0.0,0.0,0.0,1.0,2400000.0,2.0,0.0,1,7.405350365639179
Yotta Savings,2.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,1,7.354282421817317
37coins,3.0,1.0,1.0,1.0,0.0,4.0,0.0,5.0,1.0,1,7.258418810765358
Perch Credit,3.0,1.0,1.0,1.0,0.0,6.0,0.0,2.0,1.0,1,7.177801703783457
Benepass,2.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,1,7.131077139446143
Flex,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1,7.115489874110564
TiENPAY,3.0,1.0,1.0,1.0,0.0,0.0,20721162.0,8.0,0.0,1,7.063074853622812
Abacus,2.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,1,7.038035339922128
Avenews-GT,2.0,1.0,1.0,0.0,1.0,4.0,0.0,9.0,1.0,1,7.000023333411112
CoinTracker,2.0,1.0,0.0,1.0,0.0,7.0,0.0,2.0,1.0,1,6.8339498744633165
Wunderite,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1,6.785516007649129
TrustToken,4.0,1.0,0.0,1.0,1.0,5.0,0.0,17.0,1.0,1,6.7654871428016925
Pipe,3.0,1.0,0.0,0.0,0.0,20.0,0.0,4.0,0.0,1,6.563833278634722
Fangoo,2.0,1.0,0.0,1.0,0.0,2.0,2300000.0,6.0,0.0,1,6.5468687401674845
Startwise Inc,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1,6.529911659623673
Spacemesh,4.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1,6.490930727344849
Priceonomics,4.0,1.0,0.0,0.0,1.0,32.0,0.0,5.0,0.0,1,6.349328923123788
CanYa,2.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1,6.308011174191225
BlockCypher,2.0,1.0,0.0,1.0,0.0,19.0,0.0,5.0,0.0,1,6.256517205422317
OnePipe,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1,6.233354111180371
Wishfin.com,2.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1,6.066686888956308
FreightBro,4.0,1.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,1,5.666685555618519
Inkrypt,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1,5.554012774229384
Centrality,2.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1,5.549152687070477
BANKEX,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1,5.502086031803929
Zettabyte Pte Ltd,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.406866720735326
Postmaster,2.0,1.0,0.0,0.0,0.0,8.0,3118000.0,3.0,0.0,1,5.385553086245929
Numbers Protocol,4.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1,5.346164127238707
Grain,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1,5.346164127238707
Lending Loop,5.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1,5.291005291005286
Progcap,2.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1,5.288906518577284
ReadyForZero,3.0,2.0,0.0,0.0,0.0,6.0,0.0,11.0,1.0,1,5.276036780519612
Moov,2.0,2.0,0.0,0.0,0.0,17.0,0.0,2.0,2.0,1,5.248222622280537
