uuid,name,category_groups_list
f9b14a15-5517-8f38-0562-729ebb54dfdb,Homeless Shelter,Other
f8320fcf-b657-37d2-1495-daa3ad888ece,Freemium,Other
f0193199-a968-b457-eb49-95344e22a5ce,Industrial,Manufacturing
ed8217ff-bd11-26fe-d82e-eb98a276dc2e,Innovation Management,Professional Services
e9794581-9547-2150-8185-7b747f5c9913,Lighting,Hardware
e907cf2a-842d-8a30-a0b1-07d9de4a8178,Mobile,Mobile
e8804a82-8603-d2e1-c3b5-d241dd8030b9,Tutoring,Education
e6d30f03-ec4b-0380-56eb-c127dc979003,Clean Energy,"Energy,Sustainability"
e391c491-c09d-a04e-b5b6-57aa8b8d0fc6,Sustainability,Sustainability
e37ada49-ab15-5e46-0a49-f0ce1a3c9128,Neuroscience,"Biotechnology,Science and Engineering"
e012a489-adc7-cd6d-975c-928a8dbf16cb,Religion,Community and Lifestyle
dde4df9b-2d64-c8da-3dc8-4c9635f1d415,Social CRM,"Information Technology,Sales and Marketing,Software"
dbca89fa-f083-5438-b4ad-d3fdeceb78e7,Information Technology,Information Technology
d4a7bfe6-59ed-ae17-e043-1a7415745a0e,Events,"Events,Media and Entertainment"
d4213181-48a9-dd50-10ff-32dd5a33e29f,Public Relations,Sales and Marketing
d38b3f26-abc4-6f7b-b29d-b952021a1b14,Enterprise Software,Software
d0c29b4e-27db-3c47-34fe-94881a585836,Cloud Data Services,"Information Technology,Internet Services"
cd235510-75da-a660-5884-fa9977f9d729,Charity,Other
c6adf822-7fa3-c0b3-5188-556e08d72128,Video,"Media and Entertainment,Video"
c2a98b8f-f4bc-2a86-de72-ba85f41df990,Physical Security,"Administrative Services,Privacy and Security"
c267b15a-caf8-a4c8-0973-1ee558de3eef,Knowledge Management,"Administrative Services,Other"
c17de7ff-6903-1bd4-d8b8-9c72560048ea,Self-Storage,Real Estate
bf395a9a-618c-0264-3a2b-b18d8dc56fff,Hardware,Hardware
bcf1a24a-96df-d95b-099c-ddd418385579,Wholesale,Commerce and Shopping
b9bd65b9-20bf-45cc-207d-b70ac35d5bf4,Consulting,Professional Services
b9833503-2cf2-12dd-bd0d-6b0596ddf8c5,IaaS,Software
b8f58a18-4533-50fb-93a9-b4f5579318c1,IT Management,Information Technology
b65acba5-b299-3990-6390-8be3e3833a07,Retail,Commerce and Shopping
b5907394-9837-f190-7eca-a27462666650,Space Travel,Transportation
b57ba844-a631-9466-6e25-fb6e50aa5dca,Vertical Search,Internet Services
af9307c9-6413-72ae-aac7-4391df240dd2,Image Recognition,"Data and Analytics,Software"
ad091ee0-0259-f129-7777-10f65213584d,Accounting,"Financial Services,Professional Services"
aac4d736-66bd-2327-7701-1416bf43695c,Geospatial,"Data and Analytics,Navigation and Mapping"
a402e198-e69b-eda2-2454-0bd8c09fd0df,PaaS,Software
a326e225-acb8-f9c0-abfe-609a82b71965,Real Estate,Real Estate
a0e2db7f-8397-b365-a8eb-8907eadf527a,Private Social Networking,Community and Lifestyle
9f8132a0-2620-1f89-a2d2-fadbb3f16b4c,Wireless,"Hardware,Mobile"
9ea85399-55f4-8722-8d70-63271a266017,Lifestyle,Community and Lifestyle
9c453c6c-2fe9-7f99-eed3-d39d6a05cb3a,Data Mining,"Data and Analytics,Information Technology"
99dcb039-c672-885e-6290-e0c72667e1f0,Incubators,"Financial Services,Lending and Investments"
99763baa-917d-488e-86e2-34bbbde18450,Risk Management,Professional Services
98de1ee2-4c3b-be26-0f7b-46fddbbfe76d,Law Enforcement,"Government and Military,Privacy and Security"
9126275d-d470-1524-02f4-93d481721a6e,Medical,Health Care
90b4194f-1d4f-ff5c-d7a6-6b6f32ae4892,Financial Services,Financial Services
8fae7891-8002-aee2-311a-92b253c892d8,Biometrics,"Biotechnology,Data and Analytics,Science and Engineering"
8ebedea6-e4a7-8594-ac16-33e3cfef7634,Local,Sales and Marketing
8a20023f-3e32-20bb-b6ab-e824a0386367,Aerospace,Science and Engineering
89b9e37a-0dcb-a76e-0816-b69d9b54279c,Augmented Reality,"Hardware,Software"
89677d30-71f2-a6c9-efca-fa3f4ae4de1e,Credit Cards,"Financial Services,Lending and Investments,Payments"
8814acc5-9b6a-4f53-28e3-a41c22d6477b,Mobile Devices,"Consumer Electronics,Hardware,Mobile"
82bf2be6-3f6a-dcc7-b503-db3361577b8b,Celebrity,Media and Entertainment
7a37f7dd-da23-e8b0-3fea-7f16a607d7bc,Racing,Sports
744fa5d2-258f-24df-55d6-38983e272543,Coworking,Real Estate
663f3831-4ac8-a42d-8dbd-0a8c3a0a9dd7,Vending and Concessions,Commerce and Shopping
62564c13-d63b-1a8e-6894-27dd668b51d4,RFID,Hardware
61f19815-c7f8-ed2c-8dd1-81bb306560fa,College Recruiting,"Administrative Services,Education"
61b83871-f3be-f95f-93bb-d555157a4ff6,Developer Tools,Software
5fd72d4b-40dc-4f4d-f702-82e8cffb5e7d,EBooks,"Content and Publishing,Media and Entertainment"
5d9d97f5-440d-56f7-976a-d5b0a3c5a77f,Multi-level Marketing,Sales and Marketing
5d591be4-ff96-01a7-0493-183606afe26d,Document Management,"Information Technology,Software"
5c4e6926-5ff7-b188-0892-c8eb036c5ace,SaaS,Software
5ada59d6-cc9e-97c4-9dea-bed9f472100b,Crowdfunding,Financial Services
59ca1fa9-cc20-7f84-3c52-a6cee0ffe4a8,Outsourcing,Professional Services
58842728-7ab9-5bd1-bb67-e8e55f6520a0,Biotechnology,"Biotechnology,Science and Engineering"
5667104c-03d1-0317-d996-55a02fb16f90,Personalization,Commerce and Shopping
55d506cf-4bdc-85e0-2076-230bfac65d6e,Theatre,Media and Entertainment
