uuid,rank,parent_uuid
d70777cc-14bd-2416-0692-5a483781b78b,120456,ddfe6b91-4541-7f5c-7d6a-724f75c98088
5858c937-702e-c278-1725-2b5e02471482,247036,7ea4b08b-6643-f9a8-20ad-cd3e93d3df26
f09c1228-2e7d-1889-6647-ba5021b2e4ea,99764,cd19ea0d-745c-e3b6-d819-30b91caf8ebb
91f5ca18-e026-9482-8e4f-22593943e0f5,111860,fbc7746d-86e0-8fd6-19d8-69280c686d02
fc89cfde-a28e-e12c-443c-edccb6c93fd4,23073,bef5bd4b-72c6-7877-d7ab-8bbe43f7bda7
3f2b5885-4257-0d74-f05a-7b9a89bf77f7,60634,a9395d36-111d-1bf8-1a8e-7114aa1b37d3
c0b362f3-8909-2424-b225-7925b1cff6e1,303335,7f693ef5-8ff9-e713-e23e-c2df90f7431c
79297d7a-2f48-e004-b9c4-0a242ba21a4b,117595,fd44c344-e3af-a5da-c703-eca78313d01a
eef9eab2-4c50-f0a3-12b8-ce721fa2cc81,106147,6acfa7da-1dbd-936e-d985-cf07a1b27711
1029072c-c37e-5a60-801f-dfa5ce1fc337,38236,757f3fc7-7033-667c-2f3a-0553316b595f
ab953126-0de3-ff97-9678-cc4fbd89d73d,195463,8825f1bd-cf80-1b9d-9522-f74c692458ee
a4aa27bd-c688-65b1-a02a-4f02d021d958,25296,fbc7746d-86e0-8fd6-19d8-69280c686d02
9a0e860a-7743-28e2-05c0-2b08646d0fe1,12993,fd80725f-53fc-7009-9878-aeecf1e9ffbb
7d947a72-cacb-f9b2-1b7e-757b33fa09d8,14921,858da63b-4d0e-2806-f8a0-4b647ce9efb3
064d4b65-2a33-4b0e-a538-5f2cfd42f41a,73241,06b4480c-7eb9-01a3-dee8-e3dccdde0000
4ab1b039-d9ce-f96a-06e7-f737e37eee08,2558,3e683191-c38b-5166-9ae3-8bfc3b975859
86da6213-5b43-6419-4047-472102ccf66f,23223,fd80725f-53fc-7009-9878-aeecf1e9ffbb
97fb3ff9-d675-c7aa-a288-2cb2d74a9d47,134411,34cbbc3e-572c-4d15-b2c9-c24b3deff721
036859ec-45a0-136d-c7ae-205a6d541a69,3800,e3efb139-9dae-d37e-b5b6-1d8e4728b7dd
8843b4a1-19c0-390b-507c-e6639ac8e8f4,65784,7eb5e674-2d03-b456-211f-cf08e24a4150
53ab538b-920e-8e9c-f041-69c2dec3c822,33228,010c0b83-22eb-4602-8a7c-b992c90b91f0
0211e5cb-0f47-7275-0e73-bc0f5628615a,90069,25745e2f-8996-6c5a-bd0d-e102463b1276
ec26a756-d387-a455-c6fc-90fe11ece02c,42291,1a410398-3a72-5882-99b8-6318cf594850
e07f0f04-9145-db9a-5c2b-b4e0d93b2592,137782,420afb30-906a-3282-8b9c-8c4f87240d5c
cf3a40e6-920e-edfd-569e-371f84e0a4e4,12437,8b5d5ef9-87cb-4d35-8c6f-c1ee4acc6d16
0cf83157-f7f1-fd5a-148d-a57060f22e5d,18966,4a4329d4-758b-de0e-96ee-c744cc7850eb
e01aaf68-c7f1-7d2f-1d67-f8f56b8b73f0,109410,12cd5cae-db9c-2760-b720-0c6bb2ae16c3
51ef0cda-09c1-f1ce-3a68-42319f27b4ce,12568,b086c16b-062f-f73e-ddee-6f7749d30406
d3646878-c4c7-04d9-6b62-ef2aae4d6744,3085,4a4329d4-758b-de0e-96ee-c744cc7850eb
7f4501cf-e618-a14e-6394-bbf62d9dfb88,136853,05554f65-6aa9-4dd1-6271-8ce2d60f10c4
c39b1a6a-8237-1069-4621-df1c010be6e4,201390,34e68c12-485a-c9b0-2065-925f3e11feef
6a4a2e74-0801-24b7-d755-881b07025f17,3142,b8383b43-e059-21d0-7b3f-592b4b863295
33e28a0a-541d-5c1c-a002-0d83147377f0,351298,e649d0c7-3f41-e2c0-03b7-867ab82fb8d2
e7eb0e8d-f85a-813d-7646-3167f606d028,114415,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1
19154570-414d-b054-6b09-dc4a6597f822,211365,05554f65-6aa9-4dd1-6271-8ce2d60f10c4
d300b754-8f03-f143-a083-09c355f716ba,28720,d4974159-c376-5f1b-93c5-0cc0c187423b
5e92f940-f5f1-ef0c-6314-2e464a717230,136651,6498b48d-674d-4dc5-0f2a-bcc038360656
018d819e-7206-9a0a-4845-5bdfe800b412,176546,adcadaaa-f1a3-1d6f-8808-b2f960ee659a
584d5081-79f6-83be-acc9-8b5d47cb5484,33889,935f01aa-9de7-9683-827a-c8eac0f9af2d
12d39aec-df9e-2266-5912-f17d1c237690,116228,d396cea7-2167-e100-2c4e-567d40c4214e
689982a1-85c0-109a-1ee5-cc3d4e2a1065,7525,0ab03b3b-85b5-d5a9-dfb5-91544bb9ede3
d6cde56f-ad92-487c-2f72-177382a1f3fd,178900,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1
b861cfa9-cd77-0475-b48f-ff4de11ec721,341060,a5eaadd8-ff2d-41b4-b191-3cae556866d8
db322722-1636-9a5e-0c0a-bf175ddb7bad,430,55e34290-2ca0-45fb-8965-b83c17a8a9f1
fe743289-a4aa-a470-00d8-bbe937e0955b,71718,ecc088ad-9166-7a72-e77b-1e702f278763
ee9393bc-9830-fe9a-0dbb-a751f806b552,171393,57f25563-7693-bb4f-3cb4-bedecf93b13f
1be66949-17c1-3a30-b780-a7f07e5c2343,149013,5f498cbb-8161-37e2-26cc-43340f45fd8f
002c5c33-6708-b407-2a3c-9222397590e6,33260,ef2d56f4-c8e4-dc59-d59d-ef5bdc2ca21f
a6f22316-1364-28f1-4e31-679e52238c61,473979,a2a643cf-023c-91de-2cee-7c2d48d4269c
00e435dd-f616-27b3-9128-58fb909d04b4,601,b8383b43-e059-21d0-7b3f-592b4b863295
03030d51-f7e2-b330-8d5c-1bb770230650,140400,e5c42bcc-71b4-0857-8782-ffae92a45eae
6c416005-8be8-9aff-c02d-ff0249e9ef62,128179,95b124ce-5927-50eb-d1ea-15aad4f20ce9
62a4fa91-795b-dd6f-6f9e-ef6a2b3a2a95,83743,af945255-1e8d-5d36-22bc-8dcff49f2793
96fb742c-3b18-60db-f179-d64913640fd6,95624,b86db88a-10c4-0bdd-b470-614de0e2632d
b41e3cf9-41dd-472d-c43f-1a6e6c5cd914,243717,e77b4422-65dd-faad-0c06-0aca56013ada
c1488917-112c-1ca3-0149-d97439ae1577,150006,bddde3d0-8294-85c0-e521-7698ab21737a
9f1be266-fd44-e9a5-6215-c8fc40626a2a,5299,4a4329d4-758b-de0e-96ee-c744cc7850eb
e1ab5d23-2dfd-0a7d-11cc-8295526babdc,333405,e876531e-57ba-e3da-94c3-92793f9a943c
370488d3-188d-8adb-2366-39254feb445a,141685,5ed2d1ba-1d41-2163-9afa-3c9ad1dfb0cf
50a60dc3-6163-e09e-d501-570791eceb2b,63694,17d626a7-27a7-a51b-9337-3839f8ed055e
74a20af3-f4dd-6188-de60-c4ee6cd0ca4a,2,17d626a7-27a7-a51b-9337-3839f8ed055e
827b9f49-e324-edb8-e546-8f2f4e69711a,39800,fbc7746d-86e0-8fd6-19d8-69280c686d02
71d51015-1800-ed61-8bc3-8dca49caec15,10035,4a4329d4-758b-de0e-96ee-c744cc7850eb
63b9763a-ee7a-9185-c588-33c4b1629b87,172501,d93109a0-27e8-0a6b-a1a2-f9e25610d0b0
c07f0f2c-f9ac-62cf-53d5-2afde0f58ad9,24320,587783a5-94d9-11d2-b4ac-921962270a94
f328174b-21d9-5b05-5bd1-fde7dd869b17,222481,e693e2f0-50bb-05ab-8a27-4078f5dacf11
e6b07abf-8839-f1ca-759f-2759dc9a501f,18953,4a4329d4-758b-de0e-96ee-c744cc7850eb
bda4077e-42ef-6e06-aeea-129cfe56d21a,365321,9b98a18e-03ed-b615-8a06-c50a4c0ddb09
ea57a598-2a00-8403-a376-f6eb24922a1f,96049,cd19ea0d-745c-e3b6-d819-30b91caf8ebb
7c8f507b-fba8-0c6f-a36a-34ab76b61b4e,176739,1dd75c3c-5689-e307-dbc0-fd02ddf309f1
807acd45-ecc1-9cf3-64a2-3217b01fef0d,34863,173fea9e-ccd1-2b5d-c615-dba3e5ae137f
a5b4148f-63c3-29c6-8226-854e5c2ab115,8931,700f9f6d-e6c8-4a29-83d7-f50c59bf1b98
042f33ca-34ca-b1ce-d28a-de06d5e40e5d,169547,51d72ce7-3075-b4d9-941f-8a90b23c9c14
5da34aa2-4f1b-4203-f5be-d7e9b3898a72,9010,e693e2f0-50bb-05ab-8a27-4078f5dacf11
17766aa6-2da1-c1eb-d14d-2277ae1f34c7,399,76c64c78-7066-f7ab-72e8-3ba282be0a06
9f47abd8-9ce5-2685-0090-3ab58f4407bf,58295,05554f65-6aa9-4dd1-6271-8ce2d60f10c4
ae1ec5c5-5352-cd5d-8db5-220b46626b12,6225,935f01aa-9de7-9683-827a-c8eac0f9af2d
0fb9e02a-26a7-b8d3-535d-b17a1bb35a95,164147,dc7cafad-ed2f-fb69-db14-d7b95136a21a
c6a515d7-1b0e-634f-33c5-1808cd655abb,176200,172a34b4-9edd-b0ae-c768-cbfa8e1ab52c
b7e955e4-dffa-38d4-1ef6-28257d06c4b9,336620,13374e7e-f8a5-aa62-9620-bd211907470f
6058e080-a00d-e060-b9d6-a9565517bf98,189682,bbd3ae58-58e2-d81c-42bf-97d4a07ac0d1
e5d9f64f-e402-67e0-b714-82f0e43df81c,5981,e0906c05-fae5-9591-ba5f-2142d8b0065a
5f3be24c-05b6-0f0b-7aa2-d33da70e1b1d,114650,05554f65-6aa9-4dd1-6271-8ce2d60f10c4
d1ce0141-2c7d-74ee-f526-74da201dc298,135097,511190ae-d6eb-44bc-971e-f599606a3968
cc8a583f-ce5e-42fb-b82d-1888a09729cd,61906,fd78299e-173b-4e2d-98a4-d684abdeca83
14216a4f-d96d-2773-8469-85aefe3a670e,158997,f7f07fa2-f254-ccf0-a898-061b97d7e617
89ea3dab-6e0d-84de-c2a4-28a26986e7d7,24043,1e4f199c-363b-451b-a164-f94571075ee5
f3716725-552d-b9b5-59ad-de4ec64b1751,251,1e4f199c-363b-451b-a164-f94571075ee5
ee1b2fce-f91d-92e8-d53f-6dba68e3c44e,141826,94ec7fb7-ecfa-292c-1c83-854c92bfe069
3c53768b-a435-57ba-49bf-fffc3ec58fad,114579,01e6c0e2-7ade-7764-6c1a-868f39b88444
6fb702b5-f41c-9d7b-21be-44a995dc6f6e,29774,f5c477fa-6e8c-3d64-4f2d-3603e5cc3340
4e83675e-018e-bf0e-a1d8-7c77d5cd01e5,759900,5a1764d4-330a-4ee8-8beb-12eedebce1d6
98345bee-0ead-0020-25c7-c09117b370d0,121352,b8383b43-e059-21d0-7b3f-592b4b863295
cd801200-23b9-f6ab-332e-202b783770bd,105717,e8364b6a-3806-687a-04f5-daad33c28279
60208d6f-6e94-21f4-17f0-bba039d5f3c5,108608,e72dcdd4-665f-a168-3862-33727eded6f4
a16838c2-639a-ffd3-1089-7f88a756d38d,104469,6acfa7da-1dbd-936e-d985-cf07a1b27711
2ceaf8fa-beee-653d-84e5-047fd512c2cd,682271,23cd1b3a-7248-7e4f-ba6b-fced845e0598
47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,43795,66fae545-244a-d1a2-fc77-ac9b849e6538
29c943e0-e915-c7ac-7e1e-d4c17e07415f,103293,4522b60d-0b04-827e-2b6c-6eaf236cf636
4b7b9111-5919-bfd8-a11f-436585c61cde,271899,fd80725f-53fc-7009-9878-aeecf1e9ffbb
9004f081-50bb-9e35-9f92-d12432420fb8,14196,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1
e83b8f68-8bc9-6b56-220c-0ffbd470b931,5314,65aa5969-848e-4f37-9287-d320365935ea
481bc6f0-f082-929f-aae3-d2fb02a162bd,17776,4a4329d4-758b-de0e-96ee-c744cc7850eb
354d9012-b362-9a54-37c2-328b9fbe41da,61725,ddfe6b91-4541-7f5c-7d6a-724f75c98088
1966bb69-4bc9-1077-c181-fe3d67509160,85010,0e17d1a2-1f8c-728a-14d3-2a535f59c281
22875f87-0660-82e3-330f-01b7853e99f9,1982,148d24a5-c367-925e-8b99-3671d280f9bf
7b23c3e3-1e26-562a-8e84-fec1cbc5b472,73962,b1c5d726-1242-7ae0-98d3-71e4f0c6578d
a98539e6-4bde-261f-b46e-5ed0cd298f23,261316,814d79bd-fffa-2a11-c255-5f3438e93ba2
95fb57bf-8924-664b-b454-d0f22781382d,1429,af1cb234-2108-fc02-272a-5ade65278655
a9b18f40-1b7b-9cd2-f902-9578935759e2,79888,7103e064-eb56-1aeb-af09-2a4d53d03e16
a2cd37ed-c40c-ca92-8736-f56d56632ff0,195784,85459852-2f75-2bf9-bbe7-3df0e590e0a8
bec019d5-9fb7-ef11-f7a4-80a900e92976,129909,bf313e68-63a0-8281-a809-bc824b4c51f2
7d4f8bf9-8f49-3961-381c-c071cceadb22,76607,4522b60d-0b04-827e-2b6c-6eaf236cf636
