uuid,rank,country_code,region,city,investment_type,raised_amount_usd,post_money_valuation_usd,investor_count,org_uuid,lead_investor_uuids
8a945939-18e0-cc9d-27b9-bf33817b2818,348141.0,USA,California,Menlo Park,angel,500000.0,,4.0,df662812-7f97-0b43-9d3e-12f64f504fbb,3f47be49-2e32-8118-01a0-31685a4d0fd7
d950d7a5-79ff-fb93-ca87-13386b0e2feb,324083.0,USA,California,Menlo Park,series_a,12700000.0,98000000.0,4.0,df662812-7f97-0b43-9d3e-12f64f504fbb,b08efc27-da40-505a-6f9d-c9e14247bf36
6fae3958-a001-27c0-fb7e-666266aedd78,202276.0,USA,California,Menlo Park,series_b,27500000.0,502500000.0,5.0,df662812-7f97-0b43-9d3e-12f64f504fbb,"e2006571-6b7a-e477-002a-f7014f48a7e3,8d5c7e48-82da-3025-dd46-346a31bab86f"
bcd5a63d-ed99-6963-0dd2-e36f6582f846,187933.0,USA,Colorado,Denver,series_b,10500000.0,,2.0,f53cb4de-236e-0b1b-dee8-7104a8b018f9,
60e6afd9-1215-465a-dd17-0ed600d4e29b,228856.0,USA,California,West Hollywood,series_a,,10000000.0,1.0,4111dc8b-c0df-2d24-ed33-30cd137b3098,fb2f8884-ec07-895a-48d7-d9a9d4d7175c
4a56483e-d637-65fa-a2b4-abe6613e5c6b,361467.0,USA,California,West Hollywood,series_b,10000000.0,100000000.0,1.0,4111dc8b-c0df-2d24-ed33-30cd137b3098,1787528e-7bd3-a500-ba86-ac55205e7e21
7066cfde-674a-0fc4-514c-bf3c9b0d7b2e,316875.0,USA,California,San Francisco,seed,1500000.0,,4.0,3d16cb4c-911e-75c0-de5a-15c316b39f98,
0c000adf-4d17-3ebe-bbfc-74d7e691f9e8,366059.0,USA,New York,New York,series_a,6300000.0,,3.0,56b5f0c1-855f-2ebb-083f-16641f1db2e1,4a4f6a1a-40ec-50f9-a928-8f7087e973c3
e5b9d3d3-cdf5-b481-c42f-bb818225402c,108714.0,USA,California,San Francisco,seed,40000.0,,2.0,21e77067-5537-408e-cad7-e5e72bb6ad86,
7a65fabf-64bb-51b4-7e8a-bb20a33aa38f,231958.0,USA,California,San Francisco,series_a,3710000.0,21210000.0,6.0,21e77067-5537-408e-cad7-e5e72bb6ad86,
18c9eabc-61c8-fae3-d411-89ac65972882,279429.0,USA,California,San Diego,series_b,40000000.0,,4.0,ea091a8c-40e0-0607-e05a-86e734f94ade,"a6c7c343-c004-6a4d-6c67-d856cc0ec2c2,1dd75c3c-5689-e307-dbc0-fd02ddf309f1"
1ba57957-fdbd-1b57-9333-8060fa80069d,363750.0,USA,California,San Diego,series_a,13500000.0,,3.0,ea091a8c-40e0-0607-e05a-86e734f94ade,
c0e0270c-3a54-430b-d4f4-f991471dc2d8,91667.0,USA,California,Palo Alto,series_b,5700000.0,,2.0,59fada33-1595-de45-b362-062a04cf51cf,
35fa83eb-4d9b-7537-f414-1dbdb5a3aa78,320478.0,USA,New York,New York,series_a,1500000.0,,1.0,b528bd22-cce5-c60c-c79a-b4d995f66993,cd888a28-5339-b9f0-3aec-9a98c82fd447
